QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
1,100,100,0,0,100,100,0,1674065,1674065,Fast
2,100,100,100,100,0,0,0,1817883,1817883,Fast
3,100,100,100,100,0,0,0,1841744,1841744,Fast
1,100,100,0,0,100,100,0,105979,106639,Fast
2,100,100,100,100,0,0,0,106589,107226,Fast
3,100,100,100,100,0,0,0,106733,107358,Fast
1,100,100,0,0,100,100,0,4894182,4904088,Fast
2,100,100,100,100,0,0,0,4950070,4959950,Fast
3,100,100,100,100,0,0,0,4538856,4548503,Fast
1,0,0,0,0,0,0,0,0,24597,Slow
2,0,0,0,0,0,0,0,0,25740,Slow
3,0,0,0,0,0,0,0,0,31218,Slow
1,10.63829787,60.04869937,0,0,10.63829787,60.04869937,49.4104015,270,16838,Fast
2,81.39534884,94.20423183,10.63829787,60.04869937,70.75705096,34.15553246,12.80888299,6615,14131,Fast
3,88.37209302,98.21477242,81.39534884,94.20423183,6.976744186,4.010540587,9.842679394,9903,14676,Fast
1,100,100,0,0,100,100,0,2266349,2444168,Fast
2,100,100,100,100,0,0,0,2278021,2455654,Fast
3,100,100,100,100,0,0,0,2311263,2489221,Fast
1,100,100,0,0,100,100,0,788302,788302,Fast
2,100,100,100,100,0,0,0,731035,731035,Fast
3,100,100,100,100,0,0,0,704863,704863,Fast
1,0,0,0,0,0,0,0,0,2932,Slow
2,0,0,0,0,0,0,0,0,2690,Slow
3,0,0,0,0,0,0,0,0,2670,Slow
1,100,100,0,0,100,100,0,9317988.7,9324711.7,Fast
1,100,100,0,0,100,100,0,17532401.54,17532401.54,Fast
2,100,100,100,100,0,0,0,17326813.39,17326813.39,Fast
2,100,100,100,100,0,0,0,16260288.54,16265259.54,Fast
3,100,100,100,100,0,0,0,16183924.76,16188454.76,Fast
3,100,100,100,100,0,0,0,17020251.07,17020251.07,Fast
1,0,0,0,0,0,0,0,0,3541,Slow
2,0,0,0,0,0,0,0,0,3318,Slow
3,0,0,0,0,0,0,0,0,3296,Slow
1,75,94.85654532,0,0,75,94.85654532,19.85654532,9496,15301,Fast
2,75.67567568,95.15224359,75,94.85654532,0.675675676,0.295698266,19.47656791,11065,14976,Fast
3,71.05263158,95.03487328,75.67567568,95.15224359,-4.623044097,-0.117370308,23.9822417,10125,14481,Fast
1,0,0,0,0,0,0,0,0,159443,Slow
2,0,0,0,0,0,0,0,0,163769,Slow
3,0,0,0,0,0,0,0,0,172127,Slow
1,100,100,0,0,100,100,0,135305,135716,Fast
2,100,100,100,100,0,0,0,135245,135612,Fast
3,100,100,100,100,0,0,0,127171,127673,Fast
1,0,0,0,0,0,0,0,0,51851,Slow
2,0,0,0,0,0,0,0,0,56399,Slow
3,0,0,0,0,0,0,0,0,55934,Slow
1,100,100,0,0,100,100,0,780140,780715,Fast
2,100,100,100,100,0,0,0,670703,671124,Fast
3,100,100,100,100,0,0,0,676219,676517,Fast
1,100,100,0,0,100,100,0,806785,1715500,Fast
2,100,100,100,100,0,0,0,853759,1782792,Fast
3,100,100,100,100,0,0,0,878425,1829004,Fast
1,100,100,0,0,100,100,0,51913,51913,Fast
2,100,100,100,100,0,0,0,54637,54637,Fast
3,100,100,100,100,0,0,0,57410,57410,Fast
1,0,0,0,0,0,0,0,0,530152,Slow
2,0,0,0,0,0,0,0,0,360822,Slow
3,0,0,0,0,0,0,0,0,428838,Slow
1,100,100,0,0,100,100,0,663954,663954,Fast
2,100,100,100,100,0,0,0,628322,628322,Fast
3,100,100,100,100,0,0,0,644686,644686,Fast
1,48.93617021,87.56844136,0,0,48.93617021,87.56844136,38.63227115,4300,19177,Fast
2,45.65217391,85.95940573,48.93617021,87.56844136,-3.2839963,-1.609035629,40.30723182,4161,19116,Fast
3,41.30434783,84.24136232,45.65217391,85.95940573,-4.347826087,-1.718043416,42.93701449,4372,18263,Fast
1,0,0,0,0,0,0,0,0,265126,Slow
2,0,0,0,0,0,0,0,0,328831,Slow
3,0,0,0,0,0,0,0,0,377960,Slow
1,0,0,0,0,0,0,0,0,17232,Medium
2,0,0,0,0,0,0,0,0,15856,Medium
3,0,0,0,0,0,0,0,0,15368,Medium
1,0,0,0,0,0,0,0,0,8350,Slow
2,0,0,0,0,0,0,0,0,8178,Slow
3,0,0,0,0,0,0,0,0,8622,Slow
1,33.33333333,79.68386227,0,0,33.33333333,79.68386227,46.35052894,896,8161,Medium
2,41.93548387,80.20553544,33.33333333,79.68386227,8.602150538,0.521673171,38.27005157,1315,8563,Medium
3,46.66666667,83.68225864,41.93548387,80.20553544,4.731182796,3.4767232,37.01559198,1333,8359,Medium
1,100,100,0,0,100,100,0,1963430,1971670,Fast
2,100,100,100,100,0,0,0,2154752,2160229,Fast
3,100,100,100,100,0,0,0,2053133,2057745,Fast
1,100,100,0,0,100,100,0,92250,92250,Fast
2,100,100,100,100,0,0,0,94669,94669,Fast
3,100,100,100,100,0,0,0,93625,93625,Fast
1,100,100,0,0,100,100,0,372330,372330,Fast
2,100,100,100,100,0,0,0,360358,360358,Fast
3,100,100,100,100,0,0,0,351466,351466,Fast
1,100,100,0,0,100,100,0,1716125,1716125,Fast
2,100,100,100,100,0,0,0,1716131,1716131,Fast
3,100,100,100,100,0,0,0,1852186,1852186,Fast
1,94.28571429,99.09080447,0,0,94.28571429,99.09080447,4.80509018,14233,17378,Fast
