QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
1,100,100,0,0,100,100,0,548283,557535,Fast
2,100,100,100,100,0,0,0,530313,536186,Fast
3,100,100,100,100,0,0,0,530300,535798,Fast
1,100,100,0,0,100,100,0,9465519,12227717,Fast
2,100,100,100,100,0,0,0,7098929,8718498,Fast
3,100,100,100,100,0,0,0,7428180,8977609,Fast
1,9.090909091,68.79659212,0,0,9.090909091,68.79659212,59.70568303,12,939,Fast
2,60,89.18918919,9.090909091,68.79659212,50.90909091,20.39259707,29.18918919,304,666,Fast
3,57.14285714,90.27576197,60,89.18918919,-2.857142857,1.086572785,33.13290483,415,689,Fast
1,0,0,0,0,0,0,0,0,9091,Fast
2,11.9047619,71.43019554,0,0,11.9047619,71.43019554,59.52543364,588,8796,Fast
3,53.65853659,86.89458689,11.9047619,71.43019554,41.75377468,15.46439135,33.23605031,3319,8775,Fast
1,7.692307692,58.26458906,0,0,7.692307692,58.26458906,50.57228137,53,3273,Fast
2,34.7826087,82.16412972,7.692307692,58.26458906,27.090301,23.89954065,47.38152102,603,3022,Fast
3,37.03703704,87.30053191,34.7826087,82.16412972,2.254428341,5.136402199,50.26349488,704,3008,Fast
1,100,100,0,0,100,100,0,7061436,7062272,Fast
2,100,100,100,100,0,0,0,5851287,5851687,Fast
3,100,100,100,100,0,0,0,8782474,8783019,Fast
1,0,0,0,0,0,0,0,0,510287,Slow
2,0,0,0,0,0,0,0,0,554565,Slow
3,0,0,0,0,0,0,0,0,585880,Slow
1,0,0,0,0,0,0,0,0,24597,Slow
2,0,0,0,0,0,0,0,0,25740,Slow
3,0,0,0,0,0,0,0,0,31218,Slow
1,10.63829787,60.04869937,0,0,10.63829787,60.04869937,49.4104015,270,16838,Fast
2,81.39534884,94.20423183,10.63829787,60.04869937,70.75705096,34.15553246,12.80888299,6615,14131,Fast
3,88.37209302,98.21477242,81.39534884,94.20423183,6.976744186,4.010540587,9.842679394,9903,14676,Fast
1,10.20408163,61.20885854,0,0,10.20408163,61.20885854,51.00477691,584,45696,Fast
2,77.55102041,89.60383605,10.20408163,61.20885854,67.34693878,28.39497751,12.05281565,18449,43795,Fast
3,85.41666667,95.95345891,77.55102041,89.60383605,7.865646259,6.349622859,10.53679225,22927,42629,Fast
1,37.93103448,87.95492812,0,0,37.93103448,87.95492812,50.02389364,1111,7721,Fast
2,85.18518519,96.50801862,37.93103448,87.95492812,47.2541507,8.553090506,11.32283344,4855,7732,Fast
